GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,Ray,31,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,default,Sphere,419,0,74,0,13,0,41,0,4,0
JaCoCo Coverage Report,default,ClosuresSpecTest._testCallClosure_closure13,0,23,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,ClosuresSpecTest._testCallClosure_closure12,19,30,6,6,0,1,5,3,0,2
JaCoCo Coverage Report,default,ClosuresSpecTest._testCallClosure_closure11,0,14,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,SemanticsTest._testSwitchCase_closure1,17,0,0,0,1,0,2,0,2,0
JaCoCo Coverage Report,default,scriptWithClass,53,0,0,0,2,0,4,0,4,0
JaCoCo Coverage Report,default,CloningASTTransformsTest,0,66,0,0,0,12,0,6,0,6
JaCoCo Coverage Report,default,Group,113,0,4,0,11,0,4,0,2,0
JaCoCo Coverage Report,default,ClassDesignASTTransformsTest,0,167,0,0,0,26,0,5,0,5
JaCoCo Coverage Report,default,partialsums,921,0,12,0,32,0,11,0,5,0
JaCoCo Coverage Report,default,PrimitiveTest,0,33,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,default,SyntaxTest._testInterpolatingClosuresInGstrings_closure4,0,23,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,SyntaxTest._testInterpolatingClosuresInGstrings_closure2,0,14,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,SyntaxTest._testInterpolatingClosuresInGstrings_closure3,0,19,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,OperatorsTest.Person,0,8,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,default,SemanticsTest,409,1751,65,71,19,105,59,27,0,18
JaCoCo Coverage Report,default,CustomizersTest._testSecureASTCustomizerWithCustomChecker_closure4,7,11,0,0,1,0,0,2,0,2
JaCoCo Coverage Report,default,CustomizersTest._testSecureASTCustomizerWithCustomChecker_closure3,0,19,0,2,0,1,0,3,0,2
JaCoCo Coverage Report,default,scriptForGroovy1567,67,0,0,0,3,0,4,0,4,0
JaCoCo Coverage Report,default,ScriptAsUnitTest,132,0,2,0,4,0,5,0,4,0
JaCoCo Coverage Report,default,ClassTest._testInterfaceDefinition_closure1,7,11,0,0,1,0,0,2,0,2
JaCoCo Coverage Report,default,ClassTest._testInterfaceDefinition_closure2,7,11,0,0,1,0,0,2,0,2
JaCoCo Coverage Report,default,ClosuresSpecTest._testClosureVargs_closure20,0,18,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,ClosuresSpecTest._testClosureVargs_closure21,0,18,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,ClosuresSpecTest._testClosureVargs_closure22,0,24,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,default,scriptForGroovy1567._run_closure1,18,0,0,0,1,0,2,0,2,0
JaCoCo Coverage Report,default,ScriptsAndClassesSpecTest,0,68,0,0,0,11,0,3,0,3
